Level	Rogue	Druid	Hunter	Mage	Paladin	Priest	Shaman	Warlock	Warrior	Death Knight	Monk	Demon Hunter	Evoker	Adventurer	Traveler
1	0	50	65	100	60	110	55	90	0	0	260	0	260	0	0
2	0	57	70	110	64	119	61	98	0	0	270	0	270	0	0
3	0	65	91	121	84	129	68	107	0	0	285	0	285	0	0
4	0	74	98	118	90	140	91	117	0	0	300	0	300	0	0
5	0	84	121	131	112	137	100	128	0	0	310	0	310	0	0
6	0	95	130	145	120	150	110	140	0	0	330	0	330	0	0
7	0	107	155	160	129	164	121	153	0	0	345	0	345	0	0
8	0	120	166	161	154	179	133	167	0	0	360	0	360	0	0
9	0	134	193	178	165	195	161	182	0	0	380	0	380	0	0
10	0	149	206	196	192	212	175	198	0	0	400	0	400	0	0
11	0	165	235	215	205	215	190	200	0	0	430	0	430	0	0
12	0	182	250	220	219	234	206	218	0	0	465	0	465	0	0
13	0	200	266	241	249	254	223	237	0	0	505	0	505	0	0
14	0	219	298	263	265	260	241	257	0	0	550	0	550	0	0
15	0	239	316	271	282	282	260	278	0	0	595	0	595	0	0
16	0	260	350	295	315	305	280	300	0	0	645	0	645	0	0
17	0	282	370	305	334	329	301	308	0	0	700	0	700	0	0
18	0	305	391	331	354	339	323	332	0	0	760	0	760	0	0
19	0	329	428	343	390	365	346	357	0	0	825	0	825	0	0
20	0	354	451	371	412	377	370	383	0	0	890	0	890	0	0
21	0	380	475	385	435	405	395	395	0	0	965	0	965	0	0
22	0	392	515	415	459	434	421	423	0	0	1050	0	1050	0	0
23	0	420	541	431	499	449	448	452	0	0	1135	0	1135	0	0
24	0	449	568	463	525	480	476	467	0	0	1230	0	1230	0	0
25	0	479	611	481	552	497	505	498	0	0	1335	0	1335	0	0
26	0	509	640	515	579	530	535	530	0	0	1445	0	1445	0	0
27	0	524	670	535	621	549	566	548	0	0	1570	0	1570	0	0
28	0	554	715	556	648	584	598	582	0	0	1700	0	1700	0	0
29	0	584	745	592	675	605	631	602	0	0	1845	0	1845	0	0
30	0	614	775	613	702	627	665	638	0	0	2000	0	2000	0	0
31	0	629	805	634	729	665	699	674	0	0	2165	0	2165	0	0
32	0	659	850	670	756	689	733	695	0	0	2345	0	2345	0	0
33	0	689	880	691	798	728	767	731	0	0	2545	0	2545	0	0
34	0	704	910	712	825	752	786	752	0	0	2755	0	2755	0	0
