Level	Unused 0	Defense Skill	Dodge	Parry	Block	Hit - Melee	Hit - Ranged	Hit - Spell	Crit - Melee	Crit - Ranged	Crit - Spell	Corruption	Corruption Resistance	Speed	Resilience - Crit Taken	Resilience - Player Damage	Lifesteal	Haste - Melee	Haste - Ranged	Haste - Spell	Avoidance	Sturdiness	Unused 7	Expertise	Armor Penetration	Mastery	PvP Power	Unused 27	Versatility - Damage Done	Versatility - Healing Done	Versatility - Damage Taken	Unused 12
1	1	1	12	15	5	10	10	10	14	14	14	10	10	10	10	10	10	10	10	10	10	10	0	10	10	10	10	0	10	10	10	10
2	1	1	12	15	5	10	10	10	14	14	14	10	10	10	10	10	10	10	10	10	10	10	0	10	10	10	10	0	10	10	10	10
3	1	1	12	15	5	10	10	10	14	14	14	10	10	10	10	10	10	10	10	10	10	10	0	10	10	10	10	0	10	10	10	10
4	1	1	12	15	5	10	10	10	14	14	14	10	10	10	10	10	10	10	10	10	10	10	0	10	10	10	10	0	10	10	10	10
5	1	1	12	15	5	10	10	10	14	14	14	10	10	10	10	10	10	10	10	10	10	10	0	10	10	10	10	0	10	10	10	10
6	1	1	12	15	5	10	10	10	14	14	14	10	10	10	10	10	10	10	10	10	10	10	0	10	10	10	10	0	10	10	10	10
7	1	1	12	15	5	10	10	10	14	14	14	10	10	10	10	10	10	10	10	10	10	10	0	10	10	10	10	0	10	10	10	10
8	1	1	12	15	5	10	10	10	14	14	14	10	10	10	10	10	10	10	10	10	10	10	0	10	10	10	10	0	10	10	10	10
9	1	1	12	15	5	10	10	10	14	14	14	10	10	10	10	10	10	10	10	10	10	10	0	10	10	10	10	0	10	10	10	10
10	1	1	12	15	5	10	10	10	14	14	14	10	10	10	10	10	10	10	10	10	10	10	0	10	10	10	10	0	10	10	10	10
11	1	1	12	15	5	10	10	10	14	14	14	10	10	10	10	10	10	10	10	10	10	10	0	10	10	10	10	0	10	10	10	10
12	1	1	12	15	5	10	10	10	14	14	14	10	10	10	10	10	10	10	10	10	10	10	0	10	10	10	10	0	10	10	10	10
13	1	1	12	15	5	10	10	10	14	14	14	10	10	10	10	10	10	10	10	10	10	10	0	10	10	10	10	0	10	10	10	10
14	1	1	12	15	5	10	10	10	14	14	14	10	10	10	10	10	10	10	10	10	10	10	0	10	10	10	10	0	10	10	10	10
15	1	1	12	15	5	10	10	10	14	14	14	10	10	10	10	10	10	10	10	10	10	10	0	10	10	10	10	0	10	10	10	10
16	1	1	12	15	5	10	10	10	14	14	14	10	10	10	10	10	10	10	10	10	10	10	0	10	10	10	10	0	10	10	10	10
17	1	1	12	15	5	10	10	10	14	14	14	10	10	10	10	10	10	10	10	10	10	10	0	10	10	10	10	0	10	10	10	10
18	1	1	12	15	5	10	10	10	14	14	14	10	10	10	10	10	10	10	10	10	10	10	0	10	10	10	10	0	10	10	10	10
19	1	1	12	15	5	10	10	10	14	14	14	10	10	10	10	10	10	10	10	10	10	10	0	10	10	10	10	0	10	10	10	10
20	1	1	12	15	5	10	10	10	14	14	14	10	10	10	10	10	10	10	10	10	10	10	0	10	10	10	10	0	10	10	10	10
21	1	1	12	15	5	10	10	10	14	14	14	10	10	10	10	10	10	10	10	10	10	10	0	10	10	10	10	0	10	10	10	10
22	1	1	12	15	5	10	10	10	14	14	14	10	10	10	10	10	10	10	10	10	10	10	0	10	10	10	10	0	10	10	10	10
23	1	1	12	15	5	10	10	10	14	14	14	10	10	10	10	10	10	10	10	10	10	10	0	10	10	10	10	0	10	10	10	10
24	1	1	12	15	5	10	10	10	14	14	14	10	10	10	10	10	10	10	10	10	10	10	0	10	10	10	10	0	10	10	10	10
25	1	1	12	15	5	10	10	10	14	14	14	10	10	10	10	10	10	10	10	10	10	10	0	10	10	10	10	0	10	10	10	10
